course_id,course_name,section_name,source_line_start,source_line_end,graduation_requirement_details,course_length_text,course_length_normalized,course_length_semesters,grade_requirements,prerequisites,recommended_prerequisites,normalized_course_name,cross_reference_aliases,description,audition_tryout_required,audition_tryout_evidence
english_10,ENGLISH 10,LANGUAGE ARTS - CORE,31,37,English 10,Full year,full_year,2,10,,,english 10,english 10 | english0,"This course takes a deeper dive into American literature, featuring classic and modern works across a variety of genres. We will focus on developing your writing skills through four major projects: a literary analysis, an argumentative essay, a research paper, and a narrative piece. Along the way, you’ll strengthen your speaking, listening, and critical thinking skills.",False,
english_10_honors,ENGLISH 10 HONORS,LANGUAGE ARTS - CORE,38,45,English 10,Full year,full_year,2,10,,,english 10 honors,english 10 honors | english0 honors,"This accelerated course is designed to prepare college-bound students for AP Language and/or AP Literature courses. Class size will be limited. Students will continue an intensive emphasis on the writing process in the informational and functional areas, as well as the continued development of listening, viewing and speaking skills. Students will study all genres of American literature, reading classic as well as modern American authors. Students must maintain a B in order to stay in the class.",False,
english_11,ENGLISH 11,LANGUAGE ARTS - CORE,46,52,English 11,Full year,full_year,2,11,,,english 11,english 11 | english1,"Students read, write, listen to and view functional, informational and literary texts from different periods, cultures and genres in world literature. Students will also add to their presenting and speaking skills through group and individual practice.",False,
english_11_honors_world_literature,ENGLISH 11 HONORS (World Literature),LANGUAGE ARTS - CORE,53,60,English 11,Full year,full_year,2,11,,,english 11 honors world literature,english 11 honors world literature | english1 honors world literature,"Honors English 11 is designed to prepare college-bound students for AP Language and/or AP Literature courses. Students will read, write, listen to, view, and analyze functional, informational and literary texts from different periods, cultures and genres in world literature. Students will create and present group projects and presentations centered on world cultures and perspectives.",False,
ap_language,AP LANGUAGE,LANGUAGE ARTS - CORE,61,69,English 11 or English Elective,Full year,full_year,2,,,,ap language,ap language,"This Advanced Placement English class is a college-level course in effective writing and critical reading. Students will read and write the kinds of discourse they will encounter during college and on the job. The course will focus on nonfiction literature, while preparing students for the AP Language and Composition exam. Discover why “success often comes to those who have the aptitude to see way down the road.”",False,
ap_literature,AP LITERATURE,LANGUAGE ARTS - CORE,70,78,English 11 or English Elective,Full year,full_year,2,11-12,,,ap literature,ap literature,"This course engages students in the careful reading and critical analysis of imaginative literature. Through close reading of selected literary works, students deepen their understanding and enhance their pleasure in literature. They develop critical standards for interpreting the effects writers create by means of the artful manipulation of language. To achieve these goals, students study individual works, their characters, action, structure, and language. They consider both large-scale literary elements such as form and theme, and smaller-scale elements such as figurative language, imagery, symbolism, and tone. Students analyze these and other aspects of literature in their need to derive meaning from their experience of reading. Students consider literary works in their historical context and in relation to their own lives and experience as well. Students must maintain a “B” each term to remain in class.",False,
english_12,ENGLISH 12,LANGUAGE ARTS - ELECTIVES,82,88,English Elective,Full year,full_year,2,12,,,english 12,english 12 | english2,"English 12 is a continuation of English 11 for seniors only. The class is designed to review and supplement previously taught writing skills, mechanical skills, and usage problems. The reading, which will include modern novels, is broad-based.",False,
english_1010_ce,ENGLISH 1010 CE,LANGUAGE ARTS - ELECTIVES,89,105,English Elective,Semester,semester,1,12,,,english 1010 ce,english 1010 | english 1010 ce | english010 ce,"3.0 GPA in 10th and 11th grade English classes ACT score of 19+ in English and 19+ in Reading, or ACT score of a 20+ in English and 18+ in Reading, or ACT score of 18+ in English and 20+ in Reading, or UVU Accuplacer Reading and Sentence Skills Test Must pass English 1010 with a C or higher first semester to enroll in English 2010 \\Concurrent Enrollment UVU: ENG 1010 Students complete English 1010 at an accelerated pace during the first semester and are eligible to enroll in English 2010 for the second semester. This course prepares college-bound seniors for the practical demands of college level writing. Students learn how to write effective admissions and scholarship essays. This course teaches rhetorical knowledge and skills, focusing on critical reading, writing, and thinking. Writing is emphasized as a process through multiple drafts and revisions. Coursework includes major essays, collaboration, research writing, journaling, and a portfolio.",False,
english_2010_ce,ENGLISH 2010 CE,LANGUAGE ARTS - ELECTIVES,106,121,English Elective,Semester,semester,1,12,,,english 2010 ce,english 2010 | english 2010 ce | english010 ce,"3.0 GPA in 10th and 11th grade English classes ACT score of 19+ in English and 19+ in Reading, or ACT score of a 20+ in English and 18+ in Reading, or ACT score of 18+ in English and 20+ in Reading, or UVU Accuplacer Reading and Sentence Skills Test Must pass English 1010 with a C or higher first semester to enroll in English 2010 \\Concurrent Enrollment UVU: ENGL 2010 The English 2010 course emphasizes academic inquiry and research in the humanities and social sciences; explores issues from multiple perspectives; and teaches careful reasoning, argumentation, and rhetorical awareness of purpose, audience, and genre. Students evaluate, effectively integrate, and properly document sources. Coursework includes major essays, collaboration, an annotated bibliography, oral presentations, journaling, and a portfolio.",False,
ap_english_language,AP ENGLISH LANGUAGE,LANGUAGE ARTS - ELECTIVES,122,129,"English 11, Language Arts Elective",Full year,full_year,2,11-12,,,ap english language,ap english language,"This Advanced Placement English class is a college-level course in effective writing and critical reading. Students will read and write the kinds of discourse they will encounter during college and on the job. The course will focus on nonfiction literature, while preparing students for the AP Language and Composition exam. Discover why “success often comes to those who have the aptitude to see way down the road.”",False,
